date,bigtech_index
05/04/2016,2194.88
05/05/2016,2202.74
05/06/2016,2178.35
05/09/2016,2196.33
05/10/2016,2202.56
05/11/2016,2220.95
05/12/2016,2223.9
05/13/2016,2199.79
05/16/2016,2208.54
05/17/2016,2233.15
05/18/2016,2218.09
05/19/2016,2238.73
05/20/2016,2256.16
05/23/2016,2288.24
05/24/2016,2304.26
05/25/2016,2356.01
05/26/2016,2351.52
05/27/2016,2363.87
05/31/2016,2388.3
06/01/2016,2378.17
06/02/2016,2385.9
06/03/2016,2395.13
06/06/2016,2387.75
06/07/2016,2392.66
06/08/2016,2398.84
06/09/2016,2384.8
06/10/2016,2374.11
06/13/2016,2343.38
06/14/2016,2339.05
06/15/2016,2353.91
06/16/2016,2329.99
06/17/2016,2343.91
06/20/2016,2369.32
06/21/2016,2367.39
06/22/2016,2374.48
06/23/2016,2395.95
06/24/2016,2321.48
06/27/2016,2277.75
06/28/2016,2249.34
06/29/2016,2298.28
06/30/2016,2334.43
07/01/2016,2350.97
07/05/2016,2333.97
07/06/2016,2302.76
07/07/2016,2338.67
07/08/2016,2367.74
07/11/2016,2410.76
07/12/2016,2453.45
07/13/2016,2468.51
07/14/2016,2482.7
07/15/2016,2472.43
07/18/2016,2476.21
07/19/2016,2484.1
07/20/2016,2491.23
07/21/2016,2512.28
07/22/2016,2494.85
07/25/2016,2515.15
07/26/2016,2527.37
07/27/2016,2578.99
07/28/2016,2562
07/29/2016,2560.07
08/01/2016,2548.58
08/02/2016,2545.36
08/03/2016,2508.37
08/04/2016,2527.28
08/05/2016,2555.31
08/08/2016,2584.21
08/09/2016,2580.23
08/10/2016,2584.69
08/11/2016,2580.97
08/12/2016,2591.38
08/15/2016,2612.82
08/16/2016,2627.17
08/17/2016,2623.2
08/18/2016,2624.78
08/19/2016,2647.16
08/22/2016,2658.26
08/23/2016,2674.02
08/24/2016,2670.83
08/25/2016,2652.35
08/26/2016,2671.39
08/29/2016,2691.25
08/30/2016,2696.28
08/31/2016,2682.48
09/01/2016,2680.1
09/02/2016,2708.95
09/06/2016,2707.48
09/07/2016,2724.33
09/08/2016,2711.48
09/09/2016,2684.59
09/12/2016,2606.61
09/13/2016,2662.64
09/14/2016,2650.82
09/15/2016,2663.16
09/16/2016,2714.2
09/19/2016,2718.14
09/20/2016,2717.96
09/21/2016,2716.25
09/22/2016,2762.15
09/23/2016,2747.46
09/26/2016,2709.79
09/27/2016,2708.8
09/28/2016,2753.45
09/29/2016,2749.11
09/30/2016,2762.3
10/03/2016,2774.89
10/04/2016,2776.79
10/05/2016,2775.97
10/06/2016,2786.28
10/07/2016,2793.9
10/10/2016,2797.29
10/11/2016,2787.13
10/12/2016,2728.2
10/13/2016,2704.52
10/14/2016,2727.61
10/17/2016,2717.16
10/18/2016,2742.33
10/19/2016,2726.13
10/20/2016,2736.82
10/21/2016,2738.47
10/24/2016,2758.5
10/25/2016,2777.49
10/26/2016,2762.58
10/27/2016,2794.97
10/28/2016,2782.7
10/31/2016,2784.83
11/01/2016,2780.01
11/02/2016,2741.32
11/03/2016,2712.22
11/04/2016,2678.45
11/07/2016,2732.13
11/08/2016,2758.13
11/09/2016,2693.6
11/10/2016,2770.45
11/11/2016,2730.18
11/14/2016,2766.16
11/15/2016,2754.96
11/16/2016,2770.23
11/17/2016,2805.41
11/18/2016,2830.08
11/21/2016,2835.94
11/22/2016,2857.52
11/23/2016,2851.89
11/25/2016,2851.26
11/28/2016,2862.22
11/29/2016,2857.15
11/30/2016,2862.75
12/01/2016,2838.82
12/02/2016,2734.32
12/05/2016,2778.72
12/06/2016,2795.71
12/07/2016,2812.95
12/08/2016,2872.5
12/09/2016,2892.15
12/12/2016,2860.8
12/13/2016,2863.94
12/14/2016,2894.95
12/15/2016,2884.32
12/16/2016,2913.44
12/19/2016,2882.09
12/20/2016,2909.3
12/21/2016,2909.98
12/22/2016,2924.83
12/23/2016,2908.1
12/27/2016,2927.2
12/28/2016,2951.2
12/29/2016,2898.61
12/30/2016,2910.15
01/03/2017,2890.72
01/04/2017,2896.49
01/05/2017,2902.81
01/06/2017,2910.08
01/09/2017,2936.76
01/10/2017,2953.2
01/11/2017,2957.76
01/12/2017,2959.16
01/13/2017,2965.27
01/17/2017,2970.03
01/18/2017,2963.96
01/19/2017,2982.05
01/20/2017,2994.27
01/23/2017,2995.48
01/24/2017,3018.19
01/25/2017,3083.33
01/26/2017,3083.53
01/27/2017,3080.3
01/30/2017,3082.77
01/31/2017,3070.77
02/01/2017,3090.89
02/02/2017,3067.12
02/03/2017,3105.05
02/06/2017,3109.1
02/07/2017,3123.9
02/08/2017,3130.01
02/09/2017,3137.36
02/10/2017,3134.36
02/13/2017,3138.5
02/14/2017,3135.56
02/15/2017,3137.36
02/16/2017,3167.96
02/17/2017,3166.37
02/21/2017,3192.74
02/22/2017,3201.56
02/23/2017,3210.81
02/24/2017,3160.4
02/27/2017,3190.62
02/28/2017,3199.88
03/01/2017,3216.42
03/02/2017,3229.85
03/03/2017,3206.04
03/06/2017,3197.44
03/07/2017,3200.92
03/08/2017,3210.04
03/09/2017,3203.39
03/10/2017,3227.02
03/13/2017,3234.03
03/14/2017,3250.28
03/15/2017,3247.38
03/16/2017,3273.35
03/17/2017,3277.03
03/20/2017,3273.28
03/21/2017,3291.9
03/22/2017,3211.97
03/23/2017,3242.1
03/24/2017,3278.93
03/27/2017,3230.65
03/28/2017,3260.11
03/29/2017,3270.39
03/30/2017,3274.7
03/31/2017,3278.71
04/03/2017,3277.1
04/04/2017,3248.9
04/05/2017,3268.11
04/06/2017,3243.87
04/07/2017,3252.27
04/10/2017,3264
04/11/2017,3249.08
04/12/2017,3239.73
04/13/2017,3203.95
04/17/2017,3213.6
04/18/2017,3219.21
04/19/2017,3254.98
04/20/2017,3265.18
04/21/2017,3280.89
04/24/2017,3322.41
04/25/2017,3341.54
04/26/2017,3339.86
04/27/2017,3334.9
04/28/2017,3351.17
05/01/2017,3345.3
05/02/2017,3369.89
05/03/2017,3354.43
05/04/2017,3366.3
05/05/2017,3369.22
05/08/2017,3376.36
05/09/2017,3381.89
05/10/2017,3416.2
05/11/2017,3414.17
05/12/2017,3427.44
05/15/2017,3438.39
05/16/2017,3470.69
05/17/2017,3447.84
05/18/2017,3358.16
05/19/2017,3430.09
05/22/2017,3455.12
05/23/2017,3484.35
05/24/2017,3499
05/25/2017,3506.64
05/26/2017,3516.09
05/30/2017,3522.09
05/31/2017,3558.88
06/01/2017,3537.83
06/02/2017,3559.37
06/05/2017,3574.04
06/06/2017,3564.03
06/07/2017,3588.75
06/08/2017,3625.15
06/09/2017,3645.38
06/12/2017,3459.86
06/13/2017,3523.93
06/14/2017,3530.56
06/15/2017,3437.32
06/16/2017,3460.87
06/19/2017,3488.39
06/20/2017,3516.21
06/21/2017,3508.39
06/22/2017,3533.47
06/23/2017,3522.24
06/26/2017,3569.43
06/27/2017,3501.82
06/28/2017,3459.1
06/29/2017,3471.2
06/30/2017,3429.28
07/03/2017,3422.78
07/05/2017,3379.68
07/06/2017,3382.73
07/07/2017,3403.67
07/10/2017,3438.71
07/11/2017,3461.06
07/12/2017,3520.83
07/13/2017,3537.92
07/14/2017,3545
07/17/2017,3573.05
07/18/2017,3554.04
07/19/2017,3590.06
07/20/2017,3602.84
07/21/2017,3587.32
07/24/2017,3584.83
07/25/2017,3554.94
07/26/2017,3573.56
07/27/2017,3583.01
07/28/2017,3513.96
07/31/2017,3531.41
08/01/2017,3511.52
08/02/2017,3528.13
08/03/2017,3487.96
08/04/2017,3493.48
08/07/2017,3492.28
08/08/2017,3514.63
08/09/2017,3487.34
08/10/2017,3478.01
08/11/2017,3408.13
08/14/2017,3478.59
08/15/2017,3514.86
08/16/2017,3522.81
08/17/2017,3513.37
08/18/2017,3460.5
08/21/2017,3456.46
08/22/2017,3468.12
08/23/2017,3480.76
08/24/2017,3507.43
08/25/2017,3512.88
08/28/2017,3504.31
08/29/2017,3460.18
08/30/2017,3516.07
08/31/2017,3565.33
09/01/2017,3597.97
09/05/2017,3584.84
09/06/2017,3571.5
09/07/2017,3573.86
09/08/2017,3587.13
09/11/2017,3586.54
09/12/2017,3619.93
09/13/2017,3624.21
09/14/2017,3616.36
09/15/2017,3631.18
09/18/2017,3680.65
09/19/2017,3699.27
09/20/2017,3690.95
09/21/2017,3653.42
09/22/2017,3626.76
09/25/2017,3641.6
09/26/2017,3627.16
09/27/2017,3642.05
09/28/2017,3654.45
09/29/2017,3682.36
10/02/2017,3721.71
10/03/2017,3729.15
10/04/2017,3722.28
10/05/2017,3742.78
10/06/2017,3740.96
10/09/2017,3774.2
10/10/2017,3796.18
10/11/2017,3780.75
10/12/2017,3797.93
10/13/2017,3822.11
10/16/2017,3844.55
10/17/2017,3839.16
10/18/2017,3844.34
10/19/2017,3830.9
10/20/2017,3889.79
10/23/2017,3924.66
10/24/2017,3902.54
10/25/2017,3905.88
10/26/2017,3901.8
10/27/2017,3900.75
10/30/2017,3932.99
10/31/2017,3940.43
11/01/2017,3978.76
11/02/2017,3929.3
11/03/2017,3957.15
11/06/2017,4000
11/07/2017,4007.81
11/08/2017,4000.19
11/09/2017,3989.44
11/10/2017,3961.64
11/13/2017,3961.83
11/14/2017,3969.79
11/15/2017,3965.04
11/16/2017,3986.61
11/17/2017,4053.62
11/20/2017,4035.8
11/21/2017,4060.8
11/22/2017,4081.55
11/24/2017,4076.96
11/27/2017,4063.74
11/28/2017,4064.98
11/29/2017,4041.13
11/30/2017,3941.9
12/01/2017,3918.82
12/04/2017,3940.66
12/05/2017,3832.76
12/06/2017,3827.34
12/07/2017,3883.85
12/08/2017,3936.26
12/11/2017,3907.29
12/12/2017,3918.46
12/13/2017,3933.59
12/14/2017,3932.44
12/15/2017,3922.86
12/18/2017,4000.52
12/19/2017,4007.72
12/20/2017,4025.57
12/21/2017,4007.97
12/22/2017,3972.63
12/26/2017,3939.68
12/27/2017,3946.29
12/28/2017,3966.48
12/29/2017,3956.12
01/02/2018,3943.1
01/03/2018,4002.48
01/04/2018,4064.29
01/05/2018,4088.35
01/08/2018,4112.12
01/09/2018,4131.23
01/10/2018,4082.38
01/11/2018,4095.73
01/12/2018,4108.58
01/16/2018,4166.6
01/17/2018,4155.31
01/18/2018,4195.1
01/19/2018,4223.4
01/22/2018,4223.22
01/23/2018,4262.43
01/24/2018,4268.63
01/25/2018,4265.91
01/26/2018,4228.14
01/29/2018,4263.43
01/30/2018,4204.85
01/31/2018,4229.96
02/01/2018,4192.79
02/02/2018,4155.62
02/05/2018,4049.02
02/06/2018,3870.22
02/07/2018,4005.99
02/08/2018,3969.59
02/09/2018,3865.09
02/12/2018,3928.36
02/13/2018,3937.61
02/14/2018,3955.99
02/15/2018,4094.1
02/16/2018,4125.12
02/20/2018,4115.39
02/21/2018,4185.32
02/22/2018,4163.98
